Time,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland
2000,6.7,4.1,0.8,3.7,3.2,0.3,1.9,6.9,3.2,2.9,2.2,6.1,3.2,0.9,1.7,0.3,5.3,4,3.3,3.6,3,3,3.9,2.4,4,2.7,3.3,6.9,1.6,1.7
2001,6.6,4.2,0.9,3.4,3,0.2,1.4,6.3,3,3,2.3,6.1,3.2,0.9,1.5,0.3,4.7,3.7,2.9,3.6,3.1,3,3.4,2.3,4,2.6,2.7,9.3,2,1.5
2002,5.8,2.2,1.1,3.1,3,0.3,1.3,5.6,2.6,3,1.6,5.4,3,0.7,1.3,0.3,4,3.9,2.6,3.4,2.9,2.8,2.5,2.2,3.6,2,2.9,5.6,1.8,1.5
2003,5.4,2.2,1,2.8,2.9,0.2,1.2,4.9,2.3,2.8,1.7,5,3.2,0.8,1.2,0.2,4,3.5,2.4,3.2,3,2.7,1.6,1.9,2.5,1.8,2.1,6.4,1.8,1.3
2004,4.9,1.8,1.1,2.5,2.8,0.2,1.1,4.8,2,2.8,1.8,4.6,3,0.7,0.9,0.2,4.3,3.7,2.3,3,2.7,2.6,1.5,1.7,2.2,1.7,1.9,6.4,1.5,1.3
2005,4.4,1.6,1.1,2.1,2.8,0.2,1,4.7,1.7,2.7,1.8,4.5,3.2,0.5,0.8,0.2,4.1,3.8,2.2,3.2,2.5,2.6,1.2,1.5,1.7,1.6,1.8,5.5,1.6,1.3
2006,4.1,1.3,1,1.8,2.7,0.2,1,4.4,1.6,2.6,1.6,4.4,3,0.5,0.7,0.2,3.8,3.7,2,3.1,2.4,2.8,0.8,1.4,1.5,1.5,1.8,6.2,2.4,1.2
2007,4,1.1,1.1,1.6,2.7,0.2,1,4.5,1.6,2.7,1.6,4.7,2.8,0.4,0.7,0.3,4,3.5,2,3.1,2.2,3,0.7,1.2,1.4,1.4,1.7,6.3,2.6,1.1
2008,4,0.8,1,1.4,2.7,0.2,1.3,4.8,1.6,2.9,1.8,4.9,2.6,0.6,0.7,0.3,4.1,3.3,2,2.9,2.1,3.1,0.8,1.1,1.3,1.4,1.6,11.6,2,1
2009,3.9,0.7,1.2,1.9,2.6,0.2,2,5,1.7,2.5,2.2,4.4,2.3,1.5,1.2,0.4,4.5,3.2,2,3.1,2.5,3,2,1.3,1.5,1.3,1.3,12.1,1.3,0.9
2010,3.6,0.7,1.3,1.9,2.5,0.1,2.8,6.1,1.9,2.5,2.4,4.3,2,1.8,1.8,0.4,4.1,3,1.8,2.9,2.5,2.9,1.9,1.6,1.3,1.3,1.1,8.1,1.1,0.8
2011,3.5,0.7,1.3,2,2.5,0.1,3.4,7.7,2.5,2.7,2.6,4.6,2.1,1.8,1.8,0.5,4.1,3.2,1.8,2.8,2.6,4.3,2,1.9,1.5,1.4,1.2,8.8,0.9,0.7
2012,3.5,0.8,1.4,1.8,2.3,0.1,4.2,5.3,3,2.6,3,5.2,3.3,1.7,2,0.5,4.6,3,1.7,2.7,2.7,4.9,2.2,2,1.8,1.4,1,8.9,0.8,0.7
2013,3.3,0.8,1.3,1.7,1.8,0.1,4.3,4.1,3.6,2.3,3.1,4.8,3.2,1.5,1.8,0.5,4.5,2.8,1.6,2.6,2.6,4.8,2.1,2.5,1.9,1.3,0.9,8.1,0.7,0.6
2014,3.2,0.9,1.3,1.5,1.6,0.1,3.9,4,3.5,2.2,3.4,4.6,3.3,1.3,1.6,0.4,4,2.7,1.5,2.4,2,4.9,1.8,3.2,1.9,1.2,0.7,6.8,0.7,0.6
2015,2.9,0.9,1.1,1.6,1.4,0.1,2.6,3.6,3,2,3.4,4.1,3.1,1.2,1.5,0.4,3.4,2.3,1.3,2.3,1.8,4.6,1.6,3.2,1.8,1.2,0.5,6.8,0.7,0.5
2016,2.7,0.9,0.9,1.3,1.2,0,2.3,3.2,2.8,1.8,3.1,3.9,2.6,1,1.3,0.4,3.1,2.1,1.2,2.1,1.7,4.1,1.4,3,1.7,1.1,0.5,6.1,0.6,0.5
2017,2.4,0.8,0.7,0.8,1,0,2,3.1,2.5,1.7,2.6,3.8,2.5,0.9,1.1,0.4,2.6,1.8,1,1.8,1.6,3.8,1.1,2.5,1.4,1,0.4,5.7,0.4,0.4
2018,2.1,0.7,0.7,0.8,0.9,0,1.6,3.4,2.4,1.7,2.3,3.6,2.3,0.7,0.9,0.4,2.3,1.5,0.9,1.6,1.4,3.4,1,2,1.3,0.9,0.4,4.9,0.5,0.3
2019,2,0.6,0.7,0.7,0.8,0,1.3,3,2.3,1.4,2.2,3.4,2.2,0.7,0.9,0.3,2.2,1.3,0.8,1.4,1.4,3,1.2,1.7,1.2,0.9,0.4,4.3,0.5,0.3
2020,1.9,0.5,0.8,0.6,0.6,0.1,1,3,2.2,1.3,2,3.4,2.1,0.6,0.7,0.2,2.3,1.3,0.7,1.3,1.3,2.9,1.4,1.6,1.2,0.7,0.3,4.1,0.4,0.3
2021,1.7,0.5,0.8,0.6,0.6,0.1,0.8,2.5,2.1,1.4,1.5,3.5,1.7,0.5,0.4,0.2,2.3,1.1,0.5,1.1,1.1,2.4,1.5,1.2,1.1,0.5,0.2,4.1,0.2,0.2
2022,1.5,0.4,1.1,0.7,0.7,0.1,0.7,2.5,2.4,1.9,1.4,4.3,1.5,0.4,0.4,0.2,2.8,0.9,0.5,0.9,1.5,1.9,1.5,1.1,1,0.6,0.5,5.9,0.4,0.2
